0001-1089,0001-1089,1.0
0001-1089,0003-7783,0.6974382501433459
0001-2577,0001-2577,1.0
0001-2577,0900-0404,0.7271309212083173
0001-3548,0001-3548,1.0
0001-3548,0001-9947,0.6682039307248582
0001-4516,0001-4516,1.0
0001-4516,0001-9162,0.9262161708635748
0001-6826,0001-6826,1.0
0001-6826,0003-6392,0.6075278792688302
0001-7982,0001-7982,1.0
0001-7982,0001-9106,0.62823159625864
0001-7982,0005-7995,0.646598260477614
0001-8171,0001-8171,1.0
0001-8171,0003-7528,0.6651082875173657
0001-8996,0001-8996,1.0
0001-8996,0900-0517,0.6310188133527762
0001-9109,0001-9109,1.0
0001-9109,0006-2831,0.7029617302061975
0001-9763,0001-9763,1.0
0001-9763,0001-8782,0.8200096968643888
0001-9957,0001-9957,1.0
0001-9957,0900-0815,0.6021888462931668
0002-0360,0002-0360,1.0
0002-0360,0002-8621,0.6204131694217128
0002-0360,0005-6604,0.6180539950273877
0002-0360,0005-8040,0.6201265417851263
0002-1627,0002-1627,1.0
0002-1627,0002-6158,0.6743323100188112
0002-2321,0002-2321,1.0
0002-2321,0002-7966,0.6794288573694367
0002-2321,0003-5273,0.7106594737457987
0002-6172,0002-6172,1.0
0002-6172,0002-7365,0.8713053310022644
0002-6227,0002-6227,1.0
0002-6227,0002-6261,0.656610092752012
0002-6240,0002-6240,1.0
0002-6240,0002-9793,0.6446601061164832
0002-6464,0002-6464,1.0
0002-6464,0003-2819,0.7477085451928543
0002-6553,0002-6553,1.0
0002-6553,0003-7562,0.6257925734866497
0002-6670,0002-6670,1.0
0002-6670,0003-5557,0.6706617208341227
0002-6832,0002-6832,1.0
0002-6832,0002-9210,0.7755722004042739
0002-7701,0002-7701,1.0
0002-7701,0003-7368,0.7022733750332937
0002-7966,0002-7966,1.0
0002-7966,0003-5273,0.6099336978213891
0002-7978,0002-7978,1.0
0002-7978,0003-6981,0.7609461667960771
0002-9581,0002-9581,1.0
0002-9581,0003-9118,0.7852489344795732
0002-9684,0002-9684,1.0
0002-9684,0003-3920,0.7141745588482603
0002-9686,0002-9686,1.0
0002-9686,0005-5429,0.7138402263134026
0002-9686,0105-1457,0.7189773718742184
0002-9806,0002-9806,1.0
0002-9806,0003-9172,0.6665704167968742
0002-9869,0002-9869,1.0
0002-9869,0005-7805,0.8032138972559487
0003-1372,0003-1372,1.0
0003-1372,0003-5397,0.6518427982611085
0003-1850,0003-1850,1.0
0003-1850,0003-4476,0.7127499928627976
0003-3444,0003-3444,1.0
0003-3444,0003-4342,0.6374999076544647
0003-3444,0003-5532,0.632340846823242
0003-3444,0003-6653,0.7168840209605549
0003-3444,0005-7959,0.6240771314329853
0003-3673,0003-3673,1.0
0003-3673,0003-8555,0.806092493893647
0003-4342,0003-4342,1.0
0003-4342,0005-7959,0.6139660475351961
0003-4520,0003-4520,1.0
0003-4520,0003-5439,0.6724959472014093
0003-4520,0003-6480,0.8200557609083333
0003-4633,0003-4633,1.0
0003-4633,0003-4988,0.6942185988332467
0003-4943,0003-4943,1.0
0003-4943,0003-5177,0.6127261583987055
0003-4974,0003-4974,1.0
0003-4974,0003-7250,0.7681785897711448
0003-5083,0003-5083,1.0
0003-5083,0003-5812,0.6159154818702303
0003-5341,0003-5341,1.0
0003-5341,0003-8454,0.6891355432287393
0003-5368,0003-5368,1.0
0003-5368,0003-2527,0.6397342586289377
0003-5446,0003-5446,1.0
0003-5446,0003-4526,0.6753654277868282
0003-5474,0003-5474,1.0
0003-5474,0003-4602,0.7954633238339756
0003-6098,0003-6098,1.0
0003-6098,0003-7377,0.6997255593740519
0003-6188,0003-6188,1.0
0003-6188,0005-5427,0.6190313618704406
0003-6249,0003-6249,1.0
0003-6249,0002-7764,0.7714035794333256
0003-6351,0003-6351,1.0
0003-6351,0004-7777,0.6676769539368769
0003-6792,0003-6792,1.0
0003-6792,0006-3483,0.6942841005632124
0003-6870,0003-6870,1.0
0003-6870,0005-7427,0.6627274942627747
0003-7032,0003-7032,1.0
0003-7032,0004-2133,0.7960021626105228
0003-7832,0003-7832,1.0
0003-7832,0003-7843,0.7049688818458515
0003-8199,0003-8199,1.0
0003-8199,0003-9421,0.6142940662161179
0003-8384,0003-8384,1.0
0003-8384,0003-4818,0.697747993736908
0003-8717,0003-8717,1.0
0003-8717,0003-8337,0.6001457800045644
0003-9949,0003-9949,1.0
0003-9949,0900-0624,0.6234468159792146
0004-0974,0004-0974,1.0
0004-0974,0003-7985,0.7781995280779862
0004-1059,0004-1059,1.0
0004-1059,0004-9025,0.7644176373806854
0004-5777,0004-5777,1.0
0004-5777,0004-8818,0.739483110786068
0004-6731,0004-6731,1.0
0004-6731,0004-7878,0.6597713060804562
0004-7637,0004-7637,1.0
0004-7637,0004-0475,0.6942640554268237
0004-7637,0004-9153,0.9679394464045454
0004-7649,0004-7649,1.0
0004-7649,0003-7806,0.6811053059666048
0004-8986,0004-8986,1.0
0004-8986,0004-0397,0.6962466832779092
0004-9089,0004-9089,1.0
0004-9089,0004-6703,0.6330953278630137
0004-9102,0004-9102,1.0
0004-9102,0900-1289,0.6850510426897949
0004-9446,0004-9446,1.0
0004-9446,0010-3023,0.6854710785254758
0005-1272,0005-1272,1.0
0005-1272,0005-6807,0.6677504033705075
0005-3467,0005-3467,1.0
0005-3467,0005-6026,0.6447013860989846
0005-5031,0005-5031,1.0
0005-5031,0005-4303,0.680966056129501
0005-5223,0005-5223,1.0
0005-5223,0023-0034,0.6706566577447687
0005-5429,0005-5429,1.0
0005-5429,0105-1457,0.6817388825580922
0005-5550,0005-5550,1.0
0005-5550,0001-0545,0.6056272931005988
0005-6060,0005-6060,1.0
0005-6060,0005-5640,0.7947149831334523
